Entity,Code,Day,people_vaccinated
California,,2021-02-22,5494435
California,,2021-02-23,5560177
California,,2021-02-24,5639811
California,,2021-02-25,5737092
California,,2021-02-26,5862161
California,,2021-02-27,5994948
California,,2021-02-28,6141765
California,,2021-03-01,6294258
California,,2021-03-02,6520515
California,,2021-03-03,6661278
California,,2021-03-04,6739681
California,,2021-03-05,6868469
California,,2021-03-06,7075139
California,,2021-03-07,7205989
California,,2021-03-08,7318100
California,,2021-03-09,7400238
California,,2021-03-10,7497005
California,,2021-03-11,7600220
California,,2021-03-12,7738923
California,,2021-03-13,8025538
California,,2021-03-14,8027407
California,,2021-03-15,8287692
California,,2021-03-16,8540236
California,,2021-03-17,8847129
California,,2021-03-18,9097819
California,,2021-03-19,9302378
California,,2021-03-20,9562989
California,,2021-03-21,9833939
California,,2021-03-22,10070870
California,,2021-03-23,10279020
California,,2021-03-24,10522002
California,,2021-03-25,10757446
California,,2021-03-26,11059981
California,,2021-03-27,11323197
California,,2021-03-28,11574081
California,,2021-03-29,11802833
California,,2021-03-30,11929476
California,,2021-03-31,12120118
California,,2021-04-01,12376871
California,,2021-04-02,12625303
California,,2021-04-03,12935569
California,,2021-04-04,13292476
California,,2021-04-05,13529603
California,,2021-04-06,13636653
California,,2021-04-07,13880287
California,,2021-04-08,14123008
California,,2021-04-09,14445185
California,,2021-04-10,14803675
California,,2021-04-11,15123816
California,,2021-04-12,15320888
California,,2021-04-13,15451699
California,,2021-04-14,15797249
California,,2021-04-15,16125197
California,,2021-04-16,16475520
California,,2021-04-17,16772771
California,,2021-04-18,17076851
California,,2021-04-19,17276173
California,,2021-04-20,17416579
California,,2021-04-21,17580351
California,,2021-04-22,17777363
California,,2021-04-23,17946815
California,,2021-04-24,18212594
California,,2021-04-25,18487071
California,,2021-04-26,18667924
California,,2021-04-27,18786817
California,,2021-04-28,18913274
California,,2021-04-29,19054735
California,,2021-04-30,19178415
California,,2021-05-01,19444906
California,,2021-05-02,19593097
California,,2021-05-03,19673364
California,,2021-05-04,19712296
California,,2021-05-05,19786567
California,,2021-05-06,19913673
California,,2021-05-07,20047379
California,,2021-05-08,20172726
California,,2021-05-09,20284982
California,,2021-05-10,20393934
California,,2021-05-11,20468459
California,,2021-05-12,20534647
California,,2021-05-13,20623587
California,,2021-05-14,20694881
California,,2021-05-15,20838068
California,,2021-05-16,20995335
California,,2021-05-17,21092951
California,,2021-05-18,21168286
California,,2021-05-19,21273160
California,,2021-05-20,21390051
California,,2021-05-21,21531027
Colorado,,2021-01-12,187838
Colorado,,2021-01-13,198227
Colorado,,2021-01-14,209300
Colorado,,2021-01-15,223761
Colorado,,2021-01-19,278639
Colorado,,2021-01-20,287174
Colorado,,2021-01-21,296816
Colorado,,2021-01-22,313217
Colorado,,2021-01-23,313211
Colorado,,2021-01-24,355124
Colorado,,2021-01-25,364889
Colorado,,2021-01-26,372266
Colorado,,2021-01-27,381679
Colorado,,2021-01-28,394156
Colorado,,2021-01-29,409939
Colorado,,2021-01-30,423054
Colorado,,2021-01-31,440576
Colorado,,2021-02-01,455422
Colorado,,2021-02-02,464938
Colorado,,2021-02-03,472820
Colorado,,2021-02-04,485332
Colorado,,2021-02-05,495381
Colorado,,2021-02-06,512024
Colorado,,2021-02-07,528379
Colorado,,2021-02-08,539961
Colorado,,2021-02-09,542165
Colorado,,2021-02-10,557204
Colorado,,2021-02-11,570979
Colorado,,2021-02-12,586187
Colorado,,2021-02-13,609445
Colorado,,2021-02-14,631243
Colorado,,2021-02-16,686889
Colorado,,2021-02-17,704742
Colorado,,2021-02-18,724699
Colorado,,2021-02-19,780757
Colorado,,2021-02-20,800799
Colorado,,2021-02-21,817009
Colorado,,2021-02-22,831687
Colorado,,2021-02-23,832723
Colorado,,2021-02-24,847173
Colorado,,2021-02-25,859919
Colorado,,2021-02-26,876097
Colorado,,2021-02-27,876958
Colorado,,2021-02-28,901484
Colorado,,2021-03-01,924947
Colorado,,2021-03-02,935576
Colorado,,2021-03-03,954066
Colorado,,2021-03-04,972060
Colorado,,2021-03-05,991979
Colorado,,2021-03-06,1019416
Colorado,,2021-03-07,1046640
Colorado,,2021-03-08,1047703
Colorado,,2021-03-09,1061907
Colorado,,2021-03-10,1089653
Colorado,,2021-03-11,1133732
Colorado,,2021-03-12,1165790
Colorado,,2021-03-13,1199979
Colorado,,2021-03-14,1200280
Colorado,,2021-03-15,1232096
Colorado,,2021-03-16,1239039
Colorado,,2021-03-17,1262328
Colorado,,2021-03-18,1285898
Colorado,,2021-03-19,1320575
Colorado,,2021-03-20,1378562
Colorado,,2021-03-21,1413334
Colorado,,2021-03-22,1428551
Colorado,,2021-03-23,1451398
Colorado,,2021-03-24,1475619
Colorado,,2021-03-25,1510575
Colorado,,2021-03-26,1551393
Colorado,,2021-03-27,1591554
Colorado,,2021-03-28,1639579
Colorado,,2021-03-29,1664752
Colorado,,2021-03-30,1692343
Colorado,,2021-03-31,1720668
Colorado,,2021-04-01,1756207
Colorado,,2021-04-02,1792685
Colorado,,2021-04-03,1837148
Colorado,,2021-04-04,1889755
Colorado,,2021-04-05,1908869
Colorado,,2021-04-06,1934660
Colorado,,2021-04-07,1978286
Colorado,,2021-04-08,2010121
Colorado,,2021-04-09,2046950
Colorado,,2021-04-10,2099453
Colorado,,2021-04-11,2143097
Colorado,,2021-04-12,2193270
Colorado,,2021-04-13,2231953
Colorado,,2021-04-14,2276754
Colorado,,2021-04-15,2312508
Colorado,,2021-04-16,2349784
Colorado,,2021-04-17,2382398
Colorado,,2021-04-18,2418793
Colorado,,2021-04-19,2447138
Colorado,,2021-04-20,2466259
Colorado,,2021-04-21,2491259
Colorado,,2021-04-22,2518244
Colorado,,2021-04-23,2541410
Colorado,,2021-04-24,2542919
Colorado,,2021-04-25,2592016
Colorado,,2021-04-26,2604683
Colorado,,2021-04-27,2619556
Colorado,,2021-04-28,2639720
Colorado,,2021-04-29,2658086
Colorado,,2021-04-30,2677574
Colorado,,2021-05-01,2697032
Colorado,,2021-05-02,2708668
Colorado,,2021-05-03,2714585
Colorado,,2021-05-04,2722484
Colorado,,2021-05-05,2739293
Colorado,,2021-05-06,2760181
Colorado,,2021-05-07,2774918
Colorado,,2021-05-08,2788171
Colorado,,2021-05-09,2804920
Colorado,,2021-05-10,2821440
Colorado,,2021-05-11,2831594
Colorado,,2021-05-12,2838073
Colorado,,2021-05-13,2847869
Colorado,,2021-05-14,2862255
Colorado,,2021-05-15,2880006
Colorado,,2021-05-16,2903235
Colorado,,2021-05-17,2914464
Colorado,,2021-05-18,2923899
Colorado,,2021-05-19,2944194
Colorado,,2021-05-20,2958660
Colorado,,2021-05-21,2959897
Connecticut,,2021-01-12,56350
Connecticut,,2021-01-13,58920
Connecticut,,2021-01-14,156366
Connecticut,,2021-01-15,166722
Connecticut,,2021-01-19,201664
Connecticut,,2021-01-20,213145
Connecticut,,2021-01-21,230913
Connecticut,,2021-01-22,248753
Connecticut,,2021-01-23,264042
Connecticut,,2021-01-24,275126
Connecticut,,2021-01-25,282674
Connecticut,,2021-01-26,291257
Connecticut,,2021-01-27,302710
Connecticut,,2021-01-28,315317
Connecticut,,2021-01-29,329149
